GLON,GLAT,RECNO,ASSOC_3FGL,VHE,Cln,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,LR-XGP,logCpt,FRad,n_FRad,FX,Vmag1,Vmag2,ARO,AOX
287.5855,+58.6847,     865,J1219.7-0314 ,  0,Y,1RXS J121946.0-031419     ,184.94047,-03.24000, 0.009, 0.073,bll    ,ISP,14.550,14.664, 0.29900, 0.998, 0.000, 0.878,-0.227,    29.06,N,  33.400,17.889,17.140, 0.33, 1.12
163.2469,+80.0159,     866,J1220.2+3434 ,  0,Y,GB2 1217+348              ,185.03456,+34.52271, 0.052, 0.073,bll    ,LSP,13.950,13.950,        , 0.994, 0.861, 0.000,      ,   250.91,N,   4.810,17.137,16.890, 0.54, 1.52
126.5700,+45.8140,     867,J1220.2+7105 ,  0,Y,S5 1217+71                ,185.01512,+71.09198, 0.017, 0.080,fsrq   ,ISP,14.300,14.462, 0.45100, 0.999, 0.879, 0.000, 1.310,   252.53,N,        ,      ,      ,     ,
186.3585,+82.7345,     868,J1221.3+3010 ,  1,Y,PG 1218+304               ,185.34143,+30.17699, 0.001, 0.015,bll    ,HSP,16.590,16.663, 0.18200, 1.000, 0.934, 0.983,-0.220,    71.57,N, 316.000,15.463,15.670, 0.29, 0.98
201.7352,+83.2880,     869,J1221.4+2814 ,  1,Y,W Comae                   ,185.38204,+28.23292, 0.010, 0.021,bll    ,ISP,14.380,14.422, 0.10300, 1.000, 0.969, 0.931,-0.473,   732.25,N,  22.900,14.422,14.570, 0.47, 1.58
284.8192,+66.0655,     870,J1222.4+0414 ,  0,Y,4C +04.42                 ,185.59396,+04.22105, 0.021, 0.074,fsrq   ,LSP,12.810,13.104, 0.96600, 0.999, 0.937, 0.824, 2.098,   800.87,N,  16.000,17.304,16.420, 0.63, 1.28
124.3267,+36.3851,     871,J1222.7+8041 ,  0,Y,S5 1221+80                ,185.91872,+80.66787, 0.047, 0.048,bll    ,LSP,13.215,13.215,        , 0.994, 0.926, 0.000,      ,   705.20,N,   4.630,19.420,      , 0.85, 0.99
295.8726,+31.9429,     872,J1223.3-3028 ,  0,Y,NVSS J122337-303246       ,185.90420,-30.54725, 0.093, 0.127,bcu II ,HSP,15.950,15.950,        , 0.984, 0.000, 0.000,-0.758,     8.28,N,        ,17.660,      , 0.24, 1.28
233.9521,+83.4178,     873,J1224.5+2436 ,  1,Y,MS 1221.8+2452            ,186.10078,+24.60653, 0.032, 0.043,bll    ,HSP,15.300,15.386, 0.21800, 0.997, 0.000, 0.880,-0.343,    26.01,N,  27.500,17.924,16.370, 0.29, 1.27
133.9612,+66.5081,     874,J1224.5+4957 ,  0,Y,SBS 1221+503              ,186.04133,+50.03208, 0.091, 0.153,fsrq   ,-  ,      ,      , 1.06600, 0.942, 0.000, 0.000,      ,    46.98,N,        ,16.840,17.370, 0.42,
