GLON,GLAT,RECNO,ASSOC_3FGL,VHE,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,FRad,n_FRad,FX,LR-XG
071.4015,-03.0989,     172,J2023.2+3154,  0,4C +31.56            ,305.82924,+31.88397, 0.028, 0.090,bcu I  ,LSP,13.382,13.514, 0.35600, 0.998, 0.967,       , ,      ,      
073.1291,-02.3679,     173,J2025.2+3340,  0,B2 2023+33           ,306.29518,+33.71673, 0.053, 0.052,bcu I  ,LSP,12.305,12.391, 0.21900, 0.999, 0.942,       , ,      ,      
086.4349,+06.0796,     174,J2029.4+4923,  0,MG4 J202932+4925     ,307.41614,+49.43949, 0.055, 0.058,bll    ,LSP,13.320,13.320,        , 0.968,      ,       , ,      ,      
088.8085,+06.0401,     175,J2038.8+5113,  0,3C 418               ,309.65431,+51.32018, 0.104, 0.110,fsrq   ,LSP,12.480,12.909, 1.68600, 0.996, 0.962,       , ,      ,      
089.6928,+06.5527,     176,J2039.5+5217,  0,1ES 2037+521         ,309.84799,+52.33056, 0.043, 0.062,bll    ,HSP,16.448,16.470, 0.05300, 1.000,      ,       , ,      , 0.895
089.3212,+02.7624,     177,J2056.7+4938,  0,RGB J2056+496        ,314.17808,+49.66850, 0.027, 0.027,bcu II ,HSP,15.742,15.742,        , 0.995, 0.894,       , ,      , 0.957
081.1142,-07.2155,     178,J2108.0+3654,  0,TXS 2106+367         ,317.02275,+36.92404, 0.018, 0.059,bcu II ,ISP,14.860,14.860,        ,      , 0.837,       , ,      ,      
080.2817,-08.3530,     179,J2110.3+3540,  0,B2 2107+35A          ,317.38283,+35.54933, 0.203, 0.246,bcu II ,ISP,14.048,14.048,        , 0.989, 0.862,       , ,      , 0.836
097.6498,-03.5325,     180,J2201.7+5047,  0,NRAO 676             ,330.43141,+50.81566, 0.016, 0.042,fsrq   ,LSP,12.515,12.977, 1.89900, 1.000, 0.955,       , ,      ,      
112.8914,-09.9077,     181,J2347.0+5142,  1,1ES 2344+514         ,356.77015,+51.70497, 0.005, 0.018,bll    ,HSP,15.850,15.869, 0.04400, 1.000, 0.953,       , ,      , 0.980
113.7373,-07.1257,     182,J2347.9+5436,  0,NVSS J234753+543627  ,356.97138,+54.60754, 0.007, 0.066,bcu II ,HSP,16.400,16.400,        ,      ,      ,       , ,      , 0.925
